Comments,Classes
look at what you are subjecting her to by your attitude Look at the tweets She to is a child Shame on you two,NO
Look who I found staring at one at the beauty school Yes you are right she is our,NO
looks stunning you will come to know that she is nervous without the other queens but we are so proud YES u,NO
lool when a girl here that hes a photographer she laughs and ask does he have a car if the answer is no you are nothing to her,NO
Lost a few family members to suicide mental illness is not a joke You are NOT alone lt 3,NO
Lou we are becoming super predictable Lona its all your fault Lou you talk too much Scott she is right Lou you couldnt stop bitching,NO
love you little mix you are so amazing please follow she is a big fan she is my best friend love you do it for me,NO
lt lt everything she ve been through Oh my God Jill Shut up Why are you even thinking that You have to trust that is gt gt,NO
lucky she is still alive The nurse frowned and looked at her clipboard You are suppose to stay here,NO
Make YES it what you will but correct interpretation is that Shes being crushed by cocks PS cocks are everywhere,NO
Man This lady is not answering my questions Shes replying and not DIRECTLY answering Are you a person,NO
Marina Queen YES Clams says she did have a brief dalliance with Salty Prince YES Seal but he is her past You are her future,NO
may want to keep your voice down Some YES them believe this is all real Sad right Wade what are you doing She,NO
A fat ass doesn t always mean you got good pussy,YES
a few you need to correct your moms mistake and kill yourself you ugly whore,YES
aaron sorry for raping you me my locals OK BUT your A whore SO HOW IS IT EVEN RAPE HAHAHAH whore SLUT WHORE,YES
aaron sorry for raping you me my locals OK BUT your A whore SO HOW IS IT EVEN RAPE HAHAHAH whore SLUT WHORE I am livid,YES
About what That your dumb dog should get AIDS and die,YES
Adele is a FREAK she s gonna try and suck YESf every guy in this place,YES
ahhh fuck you re fucked then gay guys can hella fight remember,YES
all because his wife is a fat cunt that is disabled when she isnt pt,YES
and i said hey HEY what a wonderful kind YES day where we can learn to all be gay and suck a dong with each other,YES
And Pablo Sandoval is a fat cunt Deal with it,YES
and piss drinking pussy eating whore is that enough,YES
and that s when he caught gay,YES
Anna is so dumb She really looks like a thumb Why are you talking,YES
Annoying ugly fat slut ahahahah,YES
are you a cunt too Or just a whore lol,YES
Arrogant pig nosed cunt,YES
As an indigenous Irish citizen I will not be told where to live by a wannabe Brit,YES
As long as you have a pussy you should never be broke Thats what my pops always told me A women should never be broke,YES
Aspiring fat cunt,YES
Ate this fat bitch pussy once and it tasted like cinnamon buns,YES
Awkward when ya only just realise that your ex is a fat cunt wannabe gangster Please die,YES
aww thank you slut my big fat head hahahahha,YES
aye little ginger fat cunt i love your videos,YES
baby you the only one on here being gay We talking about DICK And you putting pussy o,YES
BAEK IS GAY FIGHT ME,YES
Bald fat pussy,YES
because you are gay,YES
Believe it or not this is a can YES beer shoved up my cunt Classy Manchester whore,YES
Big fat cocky mek di pussy talk up,YES
Big fat cocky mek di pussy talk up,YES
big fat pussy MUFASA,YES
Big fat pussy MUFASA,YES
Bill DeMott can suck my Jordanian zibby Get colon cancer you fat fuck,YES
bitch ass nigger I hate you I really wanna fight You gay asf for sending me these emojis in my DMs And die lowk,YES
Boy you suck You thanks Boy your ugly You yup Boy Justin Bieber is gay You roll up sleeves WANT TO GO PUNK,YES
Broke People Should Just Kill Themselves,YES
Bye Fat pussy fatter stomach,YES
Calling a girl a slut whore whore bitch doesn t make you any more YES a man,YES
caught this nigger tryna touch my butt wtf some how Hatfield and gay people,YES
check out this x Ray type thing You and should do this to show how deep his cock is in your pussy,YES
child you fucking loser talking to a 13 yr old kid over twitter because your life suck dude,YES
Craig Foster just talks to hear his own voice He can suck a fat one too SydneyVersusEverybody,YES
cunt hangs out with weird people everyone teased the fat cunt,YES
damn pussy fat then a mother fucker,YES
did you get caught up watching gay porn,YES
Die in a bin fire you fat twat,YES
Die in a bin fire you fat twat,YES
Die you are ugly okay so what should I do now,YES
die you fat mother fucking cunt biscuit face nob cheese cunts,YES
die you fucking slag i wanna play fifa and it wont let me you fucking skinny fat cunt,YES
DIE you FUCKING TRANNY TRICK TRAP WHORE DIE,YES
DIE you WHORE CUNTS,YES
dirty money whore cunt jew,YES
dirty slut mmmmm turn around whore,YES
Don t be afraid on my big black strapon dildo,YES
Dress like a Slut Get fucked liked a Whore I am a bareback cum whore BBBH,YES
Drill Her Tight Black Pussy black drill pussy tight,YES
Dutch PM says jihadis should die in Syria rather than come home,YES
EACH AND EVERY SINGLE ONE YES YOU SHOULD DIE THE MOST HORRIBLE DEATHS EVER BECAUSE NONE YES YOU DESERVE TO LIVE,YES
emos suck dicks,YES
Even a blind eye couldn t miss this fat cunt,YES
Everybody knows from your head to your toes you re a big fat stinking cunt,YES
Everyone should take my warning very serious I will kill you behind what s mines,YES
eww gay cunt,YES
Excerpts from speech Why Unions Should Join the Climate Fight,YES
faggot gay ass cunt dick shitter if you ask me,YES
Fat Athabaskan pussy,YES
fat bitch tried fighting me in Walmart like ill gladly lay your ass out any day YES the week cunt,YES
Fat Brunette Bitch With Butterfly,YES
Fat cunt,YES
Fat cunt,YES
fat cunt,YES
FAT CUNTS KILL YOURSELFS FFS,YES
Fat girl pussy taste like a cheese puff,YES
Fat girl pussy taste like a cheese puff,YES
Fat girls go kill yourself Go cut yourself in the corner emo,YES
Fat girls will take one good pic and use it for 5 years word to Venny let us live,YES
Fat pussy,YES
FAT pussy Eat it from the back pussy,YES
FAT pussy Eat it from the back pussy,YES
Fat pussy good night team karma,YES
fat pussy wow,YES
Fat thin either way will always be a cunt via,YES
fight me nerd,YES
Foto irishwolfling fight me you nerd,YES
Fuck Mr Nimmo Fuck Mr Kim Both YES you should suck a dick,YES
Fuck YESf Danny Welbeck you fucking black cunt Nigger Sore loser racist,YES
Fuck YESf you fat tree swinging Banana eating cunt,YES
fuck YESf you fat ugly slut faking to be other girls because your that fucking ugly youself go,YES
fuck u,YES
Fuckin Gay Cunt Swallow my Dick Faggot,YES
FUCKING GAY COCK SUCKER GO SUCK your OWN DICK,YES
Fucking lol If being gay is a choice suck my dick message to Ben Carson,YES
Fucking pissed stupid ass dj can suck a fat one,YES
GARRETT LOOKS LIKE MORE YES A FAG IN HIS AVI so suck a fat one,YES
Gay Activist to Suck My Dick,YES
gay af suck his d or die,YES
Gay af you werent saying that when you were eating my pussy last weekend,YES
gay people will die out because they cant have babies,YES
GAY PEOPLES are SUPER DOOPER ANNOYING TOO MANY SIDE COMMENTS GO to hell Well your going to hell by the time you DIE,YES
get a fucking grip you wog any proYES I scam No so go suck on your dads chode you fat wanker,YES
get on live support they should advance you,YES
get the hint he doesn t wanna call you fat cunt,YES
Girls that suck dick without being asked are goddesses and should not be fucked with,YES
Good enough for the Cunt should YES been murdered,YES
good Fucking pig slut Oink,YES
Good pussy Pretty face and your ass fat but your a whore Who let anybody hit it lt lt lt,YES
got that phat ass pussy,YES
hacked anyone s phone lately you fat cunt,YES
halos is going to a party where alcohol isnt allowed what a gay cunt,YES
happy birthday gay boy you still suck,YES
happy birthday gay boy you still suck,YES
Happy birthday have a lovely day you slut love smella X thank you whore bag,YES
HAPPY BIRTHDAY SLUT Hope you have a gay day xoxoxo,YES
He can suck three fat dicks at once and choke I want my fucking money,YES
he knows he cant take Joe whereas big nose he can do in you fucking poser cunt,YES
He mocked her talking by doing a simple hand movement Blah blah blah crust shut yer whore mouth and let s fight already He,YES
he should kill himself now,YES
he should lynch himself the fuckin cunt,YES
he would have to fight you at a catch weight ya fat bastard,YES
Hearing BLACK girls degrade another BLACK girl because she s darker than her is ridiculous YOU BOTH ARE BLACK,YES
Her pussy should ve came wit a guess list,YES
hey fat fuck did you seperate your shoulder when you tried to fire a gun is that why you hate guns pussy,YES
hey fat fuck did you seperate your shoulder when you tried to fire a gun is that why you hate guns pussy,YES
Hey its me Apple and I just wanna say your a bitch and you should go die in hell in a pit YES fire you 15 year old bastard,YES
hey piers wanna hack my phone and find ya wife s nudes you fat horse cock sucking cunt,YES
hey You should drink some bleach and die thanks,YES
homie you gay what that little gay dance you doin in WDYW video look like a girl trying to slap fight hands all up by you face,YES
hope you die YES aids you fcking cunt aids whore,YES
how about you go suck a fat one,YES
How fuckin dare you you ungrateful bitch I should have let you die I fuckin fed you when you needed food you tryna play me Got You,YES
hurry up and die terry you won t be missed you fat fuck,YES
I bet youd eat keemstars ass for a spot in eRa nerd cunt,YES
I cant decide whether you should live or die,YES
I do want to put my throbbing cock in your fat wet pussy you seem,YES
I don?t know probably a pussy like him Look at his pants that s gay as fuck Who was in that fight anyway,YES
I don?t know you fat cunt shut the fuck up just because you cant get in next doesntt mean you fucking can talk shit shut the fuck up hang urself,YES
I dont want to live in a world without elephants Why couldn t the fat chicks have gone extinct instead,YES
I feel like fat girls should except the fact their fact and just be like Im fat and i could easily kill you skinny bitches,YES
I hate ugly and fat people They deserve to die,YES
I heard you beat your girlfriend keem oh and nice fight with pittsburgh you should make a drama alert on these,YES
I hope your nan gets fucked by billy mays riding a pig you cunt,YES
I live for the likes the retweets and the favourites what a whore,YES
I ll eat your pussy like a fat nigger eat the last piece YES chicken,YES
i said suck my dick fat nigger not suck my fat dick nigger,YES
I should just beat the shit out YES them then lmao,YES
I should just kill,YES
I should see love some how karkoub you suck,YES
I should sue you for being such a fantastic sexy cunt,YES
I should thank you But it would be more fun to kill you,YES
i should watch kill your darlings tonight,YES
I suck at drawing but that pig came out nice Im happy as fuck,YES
I think you should get to say I will find you And I will kill you,YES
I wanna hurt my sister so bad she can be a total fuck face cunt sucking dick ass hypocritical shit hole freak,YES
I want handy to beat up mendecees assistant but she cant so kimbella should,YES
I wonder if you can see this you fat thick acne ridden bitch hohoho slut,YES
if ha pussy stank OH WELL you better grab the fucking lysol SPRAY SPRAY nigger caz yo ass should bot have been begging fah the numberr,YES
If I should die I d tell Big they re still hearin his songs run into Pac ask him where we went wrong Jay Z,YES
If jaden dont beat this alexis ting he s gay,YES
If only Darren Wilson s pussy ass could be behind bars like this pig Scandal,YES
If that CUNT is talking about me I kick the shit out the little fat wanker must be HE SHIT,YES
if these fucking pigs really believe in killing then they should kill themselves first hateislam islam sucks,YES
If you are a man and you give me a weak ass handshake then ima assume that you are a gay pussy faggot,YES
If you crash you die because it ain t enough seat belts for your fat as,YES
If you litter suck a big fat one Seriously,YES
If you over 25 and you live wit ya parents you niggers ain t men you niggers is children you should let ya moms claim you as a fuckin dependent,YES
If your happy or think its funny to be a home wrecking whore your the fuck weird and prolly have a roast beef pussy,YES
If youve never put yourself in harm s way for pussy you might be gay,YES
ILL FIGHT YOU WHORE,YES
Im not saying she s a slut but her vagina should be in the NFL Hall YES Fame for greatest wide receiver,YES
Im sorry that your girlfriend is an ocean pussy whore,YES
Im tired YES you but fr pussy is pussy oh well what if she too fat to ride Da dick,YES
implying you dont want to suck that big fat bull dick,YES
Is this bitch asking to die CALL ME A WHORE AND FAT ONE MORE FUCKING TIME I DARE YOU,YES
Isn t he just A right proper cunt Fat too,YES
it damm go suck some bryce papinbrook cock or maybe demarco oh maybe paul you gay as fuck your,YES
Ite pussy lol I should beat your ass,YES
its not gay if you suck my dick,YES
Jackson That mutt should die,YES
jake ryan looks like he d be the kind YES guy to let a gay kid suck his dick under the bleachers,YES
Japanese DarkSoulsMindEye Hey jblackmel suck my dick loser,YES
JUST DO IT DO IT LICK IT GOOD SUCK THIS P Y JUST LIKE YOU SHOULD,YES
Karmen go suck the nearest dick PLEASEEEE And stop talking to me which you should ve never said shit in the first place,YES
kill the pig cut her throat bash her in,YES
KILL URSELF FAT KKKUNT EVIL SHILL WHORE DIE you FUCKKKEN SLUT DIE,YES
kill your whore mom,YES
kill yourself nerd,YES
Kimi is a true whore,YES
Lance Armstrong should never have a say in anything ever again Cheating cunt stop giving him airspace,YES
leave my mentions you fat cunt babe dont call her a fat cunt when you dont know her,YES
Lick it now like it good like this pussy just like you should,YES
Like Some are gay because they didnt get pussy early,YES
lmao idk you should know that feeling since it seems that you suck dick,YES
LMFAO move gay ass my boyfriend gonna kill u,YES
lmfaooo some random nigger was talking about the leaf then hes like I think he should just fuck her right in the pussy,YES
Lol Jus come out the closet bro you gay then you gay live your life how yu want fuck nigger Just keep that shit in CHICAGO,YES
look at him man fucking fat mess looks like my dogs arse ginger twat can suck his mum,YES
Maybe we should talk about how your a fucking cunt,YES
maybe you re the reason why they re doing this and in this case you should die just joke dude MAYBE i won t kill you,YES
maybe you should fight a little harder,YES
ME AND MY mother ARE TALKING ABOUT IT NOW SHE IS FINE WITH IT I dont know how you will get to mine tho,NO
Me and Wynter will text each other out YES the blue and say who is it why are you subtweeting do you need me she s,NO
Me and Wynter will text each other out YES the blue and say who is it why are you subtweeting do you need me Shes literally the best,NO
Me are you ready to bump to j cole baby sister no not ever she dont even know who he is Me oh well too bad,NO
Me can I throw you a birthday party when you turn 69 Nana yes as long as there are male strippers She is perfection,NO
me karlee what are you going to do when you get home karlee uh eat she is me,NO
me starts crying brothers girl-friendare you ok mom dont worry she does this every now and then because Leo DiCaprio is like 3 times her age,NO
Me Who is she throws water Him Who Who Me Who Who What are you A fuckin owl Who is she,NO
meg this is mario Are you home If you are can you please help me wake Mal up Shes going to be late for her test,NO
Meghan is one YES the best people out there you can tell she cares about her fans Who else do you know ask their fans how,NO
Meghan is one YES the best people out there you can tell she cares about her fans Who else do you know ask their fans how they are and,NO
Men who have a mail order bride where is she from where are you from and how is it,NO
Men who have a mail order bride where is she from where are you from and how is it going submitted by,NO
Meryl Streep is such an amazing woman It doesnt matter who you are she will still act like Shes your mother,NO
Minzy is talented and well liked by blackjacks and YG stan She was never the weakest member YES 2ne1 like who ar,NO
mom always told me If your pee is yellow you are not drinking enough water out YES all the advise she gave me i remember that lol,NO
MONDAY FEB 9TH CALLING ALL POETS SINGERS RAPPERS WE ARE GETTING YOU READY,NO
morning too nods are you is her friend Shes using sooyoung account,NO
Ms A are you and Drita really going to deal with this heffer or just bideing your time Not for nothin she is TROUBLE,NO
ms independent Yh she got her own Hey gorgeous um I mean flawless thats what you are and how I see it is how I call it,NO
much pussy such gay,YES
Mum My nose is cold Me confused Is it not room temperature mother You are cray cray Hahaa she is as crazy as me,NO
Muslims Take Christian Children And Behead Them Rape And Kill Their Mothers And Hang Their Fat via,YES
My cat is like Hey you are ill Wait I ll warm you up And then she lies down on my body like a big foot How can this cat be so long,NO
My ceiling fan has 3 settings 1 Very slow 2 Slow 3 Im about to detach from the ceiling and kill you in a freak ceiling fan,YES
My cousin is making a frozen margarita and her daughter asked what kind YES smoothie are you making she replied a grown smoothie,NO
My favorite moment in is when she tries to fuck her boss S1 at that temp job and is like because you are gross and so am I,NO
My friend in class saw a pic YES you and asked me Who is this gay cunt lol,YES
my homie even though you been hiding out for the longest time now you your bae are so fricken adorable she is so lucky,NO
My journalism prYESessor is so cute She just goes you are literally a perfect human being I have you up on a pedestal,NO
my mom does not understand why you guys are my friends and she does not understand why my locker is allowed to be in the music hall,NO
my mom is apparently best friends with the dunkin donuts drive through guy so when she pulled up he went WHATS UP HOW ARE YOU im wheezing,NO
My mom is the only person I know that answers the question how are you With a 5 minute analysis YES how and why she feels a certain way,NO
My mother literally asks me every single day are you okay Why is she asking that it makes me so uncomfortable cause i hate lying to her,NO
my pups are my life right now Know how you feel She is going to go mental with excitement when you return best feeling,NO
My question for The Human Ken Doll Are you married What does your wife think Is she supportive,NO
My sissy slut has gone on her 1st meet to earn me cash tonight Hope she enjoys cock deep in her throat for the 1st time Cu,YES
My sister is crying because she wants a cake pop Are you fucking serious,NO
MY SISTER IS SELLING THE BACKPACK SHE GOT AT YHE ALEX GASKARTH M G WHAT ARE YOU DOING YOU BITCH,NO
My sisters farts are fucking deadly Shes not the little innocent mod you think she is Shes disgusting,NO
MY TEACHER TOLD ME THAT THERE arE NO VACUOLES IN PLANT CELLS BUT THAT IS A LIE SHE IS TRYING TO MAKE ME FAIL IM TELLING YOU,NO
My wife just told me that you are going mental and she will take me to hospital tomorrow she is here cc,NO
My wife was Jyoti Maru before marriage Are you a Maru by sir name She is from Indore India My in laws are all Maru,NO
Na Engineering course 4 years Heffypreccy She is in Babcock and you are in LASU How long will your relationship la,NO
Nadia is just a Perez lapdog Did she leave her Dignity at the entrance get a grip and realise you are just paYES the Perez plan,NO
Nadia s more amazing than Oprah is she Perez Are you fucking high,NO
nah you are qurux while she is ummmm abd you have big beautiful and nice nose while she As,NO
nah you are qurux while she is ummmm abd you have big beautiful and nice nose while she Astaqfurullah,NO
Naomi is a baddie I dont know why she trippin over fuck boys You are so much more than that princess much love,NO
Nature is constantly at work around you Character and destiny are her handiwork She gives you love and hate jealousy and reverence,NO
Naveen And Nikita Are So Cute Together D You Have An Awesome Sister In Law Shes Amazing And So Is Naveen D Bless Them,NO
neck yourself you fat cunt I hope you test positive for aids you legit need to fucking hang yourself NO ONE WOULD MISS YOU,YES
never blazed in your life Youre a pussy ass birch funny though and a loser to be honest,YES
never going to be worth it its in the past Once is once You ve got the win for a lifetime She was once you are forever,NO
nice fat FAT pussy,YES
Nice hat gay cunt xD,YES
No chance that fat fuck will live past 75,YES
No DM is a challenge She just wants to check how strong are you,NO
no dont you have a fat pussy to attend to,YES
No doubt she is talented And so are you,NO
No good identity stealing whore Pussy selling slut man stealing pussy eating whore ThadijahShaw,YES
no i ll kill that person she is shit theyre paYES why racism still exists you are not the scum she tried to make you feel like,NO
No matter where you are in the world the moon is never bigger than your thumb Shes my person,NO
no she doesnt like YOU b balou and she is Not Alone in that because you are a Vile Shill,NO
no this is no joking matter I AM PACING are you kidding me Tour starts soon and shell go and then UGH WHY WJU WJU WHY,NO
No way She is your dog You are more than welcome and she is a sweetheart,NO
no you are not one but she is thats the difference i call you one to tease you,NO
noek is so kind and beautiful ugh Shes everything goals To be honest im not you are,NO
NOPE I PLACED YOU RIGHT IN THE CATEGORY YES SO GOOD SHE IS ACTUALLY A little INTIMIDATING OK YOU ARE,NO
nope We are couple YES the year Fuck you jackie She is trying to be nice,NO
Not only are you pretty and have a nice body but youre nice too youre the whole package My mom is too sweet and Shes all I need,NO
Not only is she my but Shes also my I love you You and your smile are both amazing and beautiful,NO
Not Youre an asshole you should die but You re a dyke you should die See the difference,YES
Now thats its dead What are you going to do with it I dont understand this Is she going to eat it,NO
Now you are flattering me She smiled and the two moved to the closet I dont even know what going out attire is anymore,NO
YES course she is your role model You always keep tweeting her saying how proud you are blah blah blah,NO
Oh for sure he is fat as fuck but I tend not to use it as an insult I prefer just cunt,YES
Oh god you are right is she watching out for something Faster Anita before people come back,NO
oh my god She is beautiful and one YES my favorite people Thank you for tweeting me back you are my favorite ever,NO
oh my gosh what happened are you alright Is she alright,NO
oh my she is so pretty i hope all YES you guys are doing great i hope hes doing his job too lol tell him i miss him,NO
oh really you dirty little slut,YES
OH She is beautiful you are a lucky man,NO
Oh thanks You are nice too Damon And oh I dunno exactly YES who she is But Ive heard that she is the name YES,NO
oh you are so right She is wacked like Bingo,NO
Oh you cant break my daughter s heart You were her first crush Shes 30 now believes you are nice Is,NO
ohmyword he she is precious I am OBSESSED with corgis and I hope you two are able to get him her,NO
ok can go suck a fat dick,YES
ok well you and me are going to talk to her today That is if she is around,NO
okay why are you retweeting Daphne but not the ones I sent in which she was included what is going on here,NO
OMFG JUST DIE YOU FAT USELESS WANKERS,YES
omg Are you okay And is she near,NO
omg i want to beat this chicks head in UGH SO IGNORANT if you are you are a terrible person and she is also braindead,NO
OMG SHE IS Is she as cool as you are If so please send her my way,NO
omg that looks dope is she gunna do the whole thing or are you leaving it like that either way it looks dope,NO
omg you are so right why is she serving me so much life,NO
Omp you are Patch Cipriano and she is nora gray,NO
On the phone with Nat as Shes cooking dinner Alright chicken is cut and so are you bye,NO
one day Im going to beat the shit out my brother loser ass nigger,YES
only a whore if someone pays for it Otherwise just a slut,YES
Only bitches with good pussy should be allowed to act crazy,YES
oomf pussy smell like burnt rubber goodnight shut whore,YES
oooh you are so right She is wacked like,NO
Or are you just saying she is getting fired based on the speculations circling the web alone,NO
Or as soon as he drops his pants laugh your ass YESf while pointing at his dick That should kill his spirit,YES
or maybe I should kill them WITH FIRE,YES
Our lovely Maria is moving out and she cant attend our class anymore We are going to miss you all darling It,NO
our thoughts and prayers are with you we live in the area and so hope she is found,NO
ourselves Only a minority are ok the elite middle class she thinks she is No class common as muck any way you look at it,NO
Oysa we should kill them all degil mi,YES
people abusing the woman are scum Like you I think Shes telling the truth I also think Evans is feels hes telling truth,NO
people are dumb when a guy hits a girl no matter what she was hit with or what the situation is hes in the wrong how idiotic could you be,NO
People are ridiculous when it comes to contracts I just signed where she told me too is the most idiotic thing you can say,NO
People are worried about snapchat update if your woman is going to cheat on you she is going to do it with or without snapchat its called TRUST,NO
Perhaps that is when Yambe Akka comes for you She is older than the tundra Perhaps for her witches lives are as brief as men s 6 7,NO
PETA can suck a fat one I believe I first saw activism with Defenders YES Wildlife,YES
pfffft you re no god slut You serve us black gods remember you re place I should slap you with my bbc,YES
Pigs blood for a pig Okay Assholes If you dont die by the end YES this Im gonna be really fucking disappointed,YES
Pippa went home this week She is going to have the best life in LA with her new Daddy and fur siblings You are,NO
PLEASE DIE YOU SHOULD GO TO HELL BURST ZERO,YES
please stay away from sully she is my friend and you are a strange frenchman,NO
precisely The pain pill thing is bs sherry You are so right Kyle nose so Shes tr,NO
precisely The pain pill thing is bs sherry You are so right Kyle nose so Shes trying to keep b,NO
Prods cheeks wondering who she is Who are you,NO
psssshhhhh clingy girls are the best you never have to worry what they re doing or where they re at where is she on,NO
pussy nigger wanna size me up i shall snap your fucking neck,YES
pussy should taste like pussy no amount YES pineapples is gonna change that drink water eat healthy and your pussy should,YES
pussy so fat It would fit perfect on my face,YES
Really close you barely tweet her and dont say she We are We DM and we text its almost as if there is,NO
Rebecca Notices everyone Hi everybody First cappy Shes not going to huus is she Tiff What are you guys a bunch YES babies,NO
reddish brown dog picked up in Arnold If you are missing your girl she is at,NO
reddish brown dog picked up in Arnold If you are missing your girl she is at htt,NO
Remember if you are not playing your heaout someone else is And when you meet her she will win,NO
remember who you are and what she is Shes wrote a check her ass cant cash Never mess with a mothers child or integrity,NO
replies give you a hint where we are going the room is going to be filled with women sends giggles she is going to get it,NO
rinko is giving you a handjob on the school roYES she asks if you are cumming touch an option 1 Yes 2 Yes 3 Go for,NO
robowecop It just frustrates me one lad is showing Katie what tattoo he wants and she immediately said Are you crazy so judgemental,NO
Robyn or i should say Mrs piggy Or mrs fatty did you suck alot YES cocks this weekend and tucker and cody scrub you YESf,YES
Robyn why do you cry all the time Unless you got a cock in your fat ass Or in your mouth Your cunt smells like pig shit poor Tucker and Cody,YES
Robyn why is Tucker and Cody stupid kids oh ya you raised them you shouldnt even be a mom Unfit bitch pig whore slut cry baby haha bitch,YES
Roses are red violets are blue Jennifer Aniston is 46 and Shes still better looking than me and you,NO
Rrabia I am fine thanks she is going to college in Manhattan where are you In NYC Fallow me you can write direct message,NO
Rumors fly and say you are a wonderful woman This is not no rumor this is true she is wonderful,NO
Said i wonder now yeah i wonder how you ve been Are you happy Is she still the one are you having fun Is it for real,NO
sara threatens to fight me all the time but she never has is she a poser found out at 6 kick my ass sara,YES
Sarah sweetie you ARE a joke gt Palin complains that quasi right Fox News thinks Shes a joke This is war,NO
Scholes should stfu the ginger cunt,YES
Second Grade Brain Dude there s your girlfriend She is not Are you The love bug bites and they re only 7,NO
See if shed like to dance This is the fun part If you dont dance why are you at the club Go use Tinder dude HAHAHAHAHA,NO
Senator Cornyn is an idiot He asked Ms Lynch the AG nominee if she was Eric Holder Sir Are you color blind or a racis,NO
Senator Cornyn is an idiot He asked Ms Lynch the AG nominee if she was Eric Holder Sir Are you color blind or a racist AH,NO
Senator Cruz you are asking relevant questions and Loretta Lynch is not going to answer because she does NOT suppothe cons,NO
Senator Cruz you are asking relevant questions and Loretta Lynch is not going to answer because she does NOT suppothe constitution,NO
Senor senor do you know where she is hidin How long are we going to be ridin,NO
seriously makes me sad sometimes how pretty she is aww all you are too so dont be sad,NO
She a keeper i know her type she got that fat warm pussy guinnyss,YES
She a slut she a whore she a freak Ain t got a job but everything on fleek,YES
She a slut she a whore she a freak aint got no job but everything on fleek,YES
She blushed more at his words And I dont see how you can be all that you claimed you are either At least that is not what,NO
she cant have my job the position is already filled you are more then welcome to fill a application out tho,NO
she certainly is mine would be a ppleasure if i ever told you how beautiful you are in person,NO
She chuckled and nodded to him Well you are a prince what are they going to do She asked with a faint smile Odin is,NO
she definitely is as are you,NO
She deserve it and if she compare to you You are far left behind And She is more deserving to enter to top 5,NO
she does realize that what you and other students are saying is bring back our unhealthy food right,NO
she frowns and sips from her goblet Fandral my friend there is something else you are not telling me Please spare me,NO
She gives a billion fucking dishes to do NONE YES THEM ARE MINE get your lazy ass up and you do them idc if your friend is coming over,NO
she have 2 conflicting ones Saying it makes you go crazy and kill and users are lazy Which is it,NO
she is a better person than you are so btfu,NO
She is a bitch a slut and a whore Her body was used but the users paid no attention to her and she was free to find out why,YES
She is a godess you are fucking slave,YES
She is a loon You are a wonderful person,NO
She is a nasty vindictive woman Sorry you are probably a nice lady But these women are,NO
She is a nasty vindictive woman Sorry you are probably a nice lady But these women are always bitching,NO
She is ace Are you a SCBWI member in the EU writing MG Want to talk to ace agent GO,NO
she is always in competition let your actions show what kind YES person you are oh wait,NO
She is amazing I hear you are speaking at our conference in May too exciting,NO
she is an honorific you have no honor nor are you female the flowegirl thing creepy,NO
she is an undertow and you are the tide barely getting his feet wet,NO
She is awfully special as are you,NO
She is beautiful I know you are reading this and disagree but you are,NO
she is beautiful like a saint in heaven little girl if you see this do not listen to them you are beautiful,NO
she is How are you doing over there hun,NO
She is in my eyes a lady with good blood and whose skills are good enough for such a role Again I remind you are married,NO
She is intimidated by what a GREAT mother she knows you are,NO
She is isnt she Smiles at the two YES them and then yawns I think papa needs to go sleepies Are you two cuties tired,NO
She is just after attention DrPhil so You are only given her what she wants,NO
She is just defending herself You are the one who tweeted her,NO
she is just doing that because you are her baby and she loves you Even though its irritating it just means she cares,NO
She is madness sanity She is hell and paradise Yes you are,NO
She is my Life Love You so much my babe you are ever so happy god send me an Angel Mami loves you,NO
she is my savior you are my lord,NO
she is my shining star and you are my smiling moon lt 3,NO
She is nearly home One more day and Steffy returns to YOU EXCITED YAY,NO
She is not either you are crazy OK did it help any,NO
She is not your baby sister you are the same age and in no way related please stop,NO
SHE IS NOW IGNORING MY TEXTS WHAT ARE YOU DOING Im FUCKING HUNGRY,NO
She is now out YES pain and with God You have another Angel to watch over you They are never truly gone,NO
she is obsessed with me cause you are gorgeous,NO
She is opposed by Fascists who love war crimes so yes doing something right You are welcome,NO
She is Or you are No subject in your tweet passes iPhone to psychotherapist,NO
She is packed and ready Are you Let me your for you Save time get a better,NO
She is perfect you know who you are,NO
SHE IS PRETTY TALLENTED AND MAKES ASHTON HAPPY IM OKAY IM FINE YOU ARE TALKING ABOUT A RACIST FAT SHAMING WHORE,NO
she is really pretty and I love it that you two are dating,NO
SHE IS ROYALTY SHE IS YOU she is ME what DIVINE REFLECTIONS we are To BEAUTIFUL WOMEN ALL over,NO
She IS sexy OH YES,NO
she is so beautiful hope you are ok qq,NO
SHE IS SO CUTE YOU ARE SO CUTE CAN I CUDDLE YOU BOTH,NO
she is so Great Sophia You are the best,NO
she is so precious yeah you are she was,NO
she is stupid There is no doubt about it now Are you still doubting,NO
she is the big 18 you are truly miss,NO
She is the most amazing beautiful girl I have ever met I cant believe how perfect you are for me I,NO
she is They all are whos the member you like most,NO
she is ugly and so are you leave us alone you animal,NO
She is very dreamy but she is not the sun YOU are,NO
She is very special,NO
She is you are so beautiful and smart keep on chasing your dreams because you WILL achieve them lt 3,NO
she is you both are,NO
She knows she knows And it breaks my heathat there is a pain which even tho they are already together you can see,NO
She lay her hands on either side YES your face imitating your motion My home is where you are,NO
she looks mad WHY ARE YOU MAD THIS IS ALL YES MY GOALS FML,NO
she loves you so much meeting her is inevitable at this point Smile because you are loved and you are needed,NO
She nodded YES course I can This is me we are talking about Do you doubt me Her eyes following his movement upward,NO
She nods Good Thank you My name is Arcee and you are,NO
